3218.69,5000,10000,30000,21082.41,VDOT,16093.4,20000,1609.34,42164.81,1500,3000,15000,8046.72,25000,8000
761.0,1218.0,2524.0,8147.0,5592.0,49.0,4190.0,5285.0,356.0,11646.0,330.0,705.0,3884.0,2014.0,6712.0,2002.0
775.0,1239.0,2570.0,8291.0,5693.0,48.0,4265.0,5380.0,363.0,11849.0,336.0,718.0,3953.0,2050.0,6832.0,2038.0
790.0,1262.0,2616.0,8440.0,5798.0,47.0,4344.0,5479.0,370.0,12060.0,342.0,732.0,4026.0,2087.0,6956.0,2074.0
805.0,1285.0,2665.0,8596.0,5907.0,46.0,4426.0,5582.0,377.0,12279.0,349.0,746.0,4102.0,2126.0,7086.0,2113.0
820.0,1310.0,2716.0,8757.0,6020.0,45.0,4510.0,5689.0,385.0,12506.0,356.0,760.0,4180.0,2167.0,7220.0,2154.0
836.0,1335.0,2769.0,8925.0,6137.0,44.0,4598.0,5800.0,392.0,12743.0,363.0,775.0,4262.0,2209.0,7359.0,2195.0
853.0,1361.0,2824.0,9099.0,6260.0,43.0,4690.0,5916.0,401.0,12988.0,371.0,791.0,4347.0,2252.0,7505.0,2239.0
871.0,1389.0,2881.0,9280.0,6387.0,42.0,4786.0,6036.0,409.0,13243.0,379.0,808.0,4436.0,2298.0,7655.0,2284.0
889.0,1418.0,2941.0,9469.0,6520.0,41.0,4886.0,6162.0,418.0,13509.0,387.0,825.0,4529.0,2346.0,7813.0,2332.0
908.0,1448.0,3003.0,9666.0,6659.0,40.0,4991.0,6293.0,427.0,13785.0,395.0,843.0,4626.0,2396.0,7977.0,2381.0
929.0,1479.0,3069.0,9872.0,6804.0,39.0,5099.0,6430.0,437.0,14074.0,404.0,861.0,4727.0,2448.0,8149.0,2433.0
949.0,1512.0,3137.0,10086.0,6955.0,38.0,5214.0,6573.0,447.0,14375.0,414.0,881.0,4833.0,2502.0,8328.0,2487.0
971.0,1546.0,3209.0,10311.0,7114.0,37.0,5333.0,6723.0,458.0,14690.0,424.0,901.0,4944.0,2559.0,8515.0,2544.0
994.0,1582.0,3284.0,10545.0,7279.0,36.0,5458.0,6880.0,469.0,15019.0,434.0,923.0,5060.0,2619.0,8711.0,2603.0
1018.0,1620.0,3363.0,10791.0,7453.0,35.0,5589.0,7044.0,481.0,15363.0,445.0,945.0,5182.0,2682.0,8916.0,2666.0
1044.0,1659.0,3446.0,11048.0,7636.0,34.0,5727.0,7217.0,494.0,15723.0,457.0,969.0,5310.0,2748.0,9132.0,2731.0
1070.0,1701.0,3534.0,11319.0,7827.0,33.0,5872.0,7398.0,507.0,16102.0,469.0,993.0,5445.0,2818.0,9358.0,2801.0
1098.0,1745.0,3626.0,11603.0,8029.0,32.0,6025.0,7589.0,521.0,16499.0,482.0,1019.0,5587.0,2891.0,9596.0,2874.0
1128.0,1791.0,3723.0,11902.0,8241.0,31.0,6185.0,7790.0,535.0,16917.0,495.0,1047.0,5736.0,2968.0,9846.0,2950.0
1159.0,1840.0,3826.0,12217.0,8464.0,30.0,6355.0,8001.0,551.0,17357.0,510.0,1076.0,5894.0,3050.0,10109.0,3032.0
